,itself-1,,inout-1,max-1,oppdir-1,samedir-1,,,lag-1,,inout-1,max-1,oppdir-1,samedir-1
"""12/3/1""",0.67,,0.60,0.98,0.67,0.51,,,,,,,,
"""30/3/2""",0.18,,0.09,0.08,0.18,-0.09,,,,,,,,
"""12/2/2""",0.79,,0.82,0.76,0.79,0.87,,,,,,,,
"""12/2/1""",0.69,,0.66,0.55,0.69,0.61,,,,,,,,
"""30/3/1""",0.09,,0.12,0.08,0.09,0.14,,,,,,,,
"""4/3/1""",0.39,,0.39,0.47,0.39,0.38,,,,,,,,
"""15/8/2""",0.21,,0.14,0.28,0.21,0.05,,,,,,,,
"""30/2/1""",0.01,,0.05,0.27,0.01,0.11,,,,,,,,
"""12/1/1""",0.64,,0.60,0.64,0.64,0.52,,,,,,,,
"""12/1/2""",0.69,,0.79,0.98,0.69,0.98,,,,,,,,
"""30/25/2""",0.03,,0.02,0.09,0.03,0.00,,,,,,,,
"""30/25/1""",0.13,,0.05,0.02,0.13,-0.10,,,,,,,,
"""30/24/2""",0.08,,0.12,0.02,0.08,0.19,,,,,,,,
"""30/24/1""",-0.09,,-0.03,-0.06,-0.09,0.05,,,,,,,,
"""31/7/2""",0.66,,0.68,0.70,0.66,0.70,,,,,,,,
"""31/7/1""",0.84,,0.84,0.88,0.84,0.84,,,,,,,,
"""3/1/1""",0.28,,0.23,0.27,0.28,0.15,,,,,,,,
"""3/1/2""",0.32,,0.28,0.35,0.32,0.21,,,,,,,,
"""30/19/2""",0.20,,0.21,0.44,0.20,0.21,,,,,,,,
"""30/19/1""",0.10,,0.15,0.18,0.10,0.23,,,,,,,,
"""41/4/1""",0.36,,0.31,0.45,0.36,0.25,,,,,,,,
"""15/11/2""",0.53,,0.50,0.54,0.53,0.47,,,,,,,,
"""15/11/1""",0.43,,0.44,0.48,0.43,0.46,,,,,,,,
"""1/12/1""",0.77,,0.75,0.83,0.77,0.72,,,,,,,,
"""1/12/2""",0.79,,0.80,0.74,0.79,0.82,,,,,,,,
"""34/9/2""",0.32,,0.28,0.16,0.32,0.23,,,,,,,,
"""1/13/1""",0.90,,0.93,0.98,0.90,0.98,,,,,,,,
"""1/13/2""",0.77,,0.76,0.70,0.77,0.74,,,,,,,,
"""5/4/1""",0.61,,0.66,0.72,0.61,0.73,,,,,,,,
"""4/1/1""",0.65,,0.63,0.64,0.65,0.61,,,,,,,,
"""42/3/1""",0.06,,0.07,-0.02,0.06,0.09,,,,,,,,
"""30/17/1""",0.08,,0.09,-0.04,0.08,0.11,,,,,,,,
"""30/17/2""",0.12,,0.09,-0.04,0.12,0.05,,,,,,,,
"""45/1/1""",0.39,,0.45,0.27,0.39,0.52,,,,,,,,
"""42/3/2""",0.05,,0.11,0.24,0.05,0.18,,,,,,,,
"""22/9/2""",0.13,,0.16,0.04,0.13,0.20,,,,,,,,
"""22/6/2""",0.14,,0.09,0.08,0.14,0.02,,,,,,,,
"""38/2/2""",0.52,,0.52,0.66,0.52,0.51,,,,,,,,
"""38/2/1""",0.47,,0.49,0.63,0.47,0.50,,,,,,,,
"""22/6/1""",0.20,,0.22,0.16,0.20,0.24,,,,,,,,
"""6/1/2""",0.38,,0.29,0.11,0.38,0.17,,,,,,,,
"""34/8/1""",0.48,,0.50,0.54,0.48,0.52,,,,,,,,
"""34/8/2""",0.46,,0.44,0.48,0.46,0.43,,,,,,,,
"""38/6/2""",0.58,,0.63,0.74,0.58,0.70,,,,,,,,
"""38/6/1""",0.72,,0.64,0.74,0.72,0.55,,,,,,,,
"""38/5/1""",0.34,,0.34,0.26,0.34,0.33,,,,,,,,
"""38/5/2""",0.58,,0.57,0.13,0.58,0.56,,,,,,,,
"""30/12/1""",0.43,,0.43,0.66,0.43,0.43,,,,,,,,
"""4/1/2""",0.58,,0.60,0.61,0.58,0.61,,,,,,,,
"""30/12/2""",0.01,,0.01,0.00,0.01,0.00,,,,,,,,
"""38/4/1""",0.39,,0.39,0.47,0.39,0.38,,,,,,,,
"""34/6/2""",0.66,,0.63,0.53,0.66,0.59,,,,,,,,
"""34/6/1""",0.58,,0.61,0.50,0.58,0.65,,,,,,,,
"""36/6/2""",0.23,,0.29,0.23,0.23,0.41,,,,,,,,
"""19/1/2""",0.52,,0.52,0.48,0.52,0.51,,,,,,,,
"""19/1/1""",0.56,,0.58,0.50,0.56,0.60,,,,,,,,
"""36/6/1""",0.21,,0.21,0.21,0.21,0.22,,,,,,,,
"""19/2/1""",0.63,,0.65,0.56,0.63,0.67,,,,,,,,
"""19/2/2""",0.53,,0.52,0.48,0.53,0.51,,,,,,,,
"""4/6/1""",0.52,,0.50,0.90,0.52,0.47,,,,,,,,
"""4/2/1""",0.52,,0.51,0.17,0.52,0.50,,,,,,,,
"""10/3/1""",0.83,,0.79,0.88,0.83,0.74,,,,,,,,
"""10/3/2""",0.79,,0.79,0.88,0.79,0.81,,,,,,,,
"""4/3/2""",0.17,,0.19,0.23,0.17,0.21,,,,,,,,
"""10/2/1""",0.65,,0.59,0.72,0.65,0.51,,,,,,,,
"""10/2/2""",0.58,,0.57,0.71,0.58,0.57,,,,,,,,
